,immu,immu_origin
"Schizophyllum_18654917:Schizophyllum
",抑制,"immunocompromised immunocompromised patient im patient immunocompromised patient. immuno immunocom immu immunocomp an immunocompromised immunocompromised patient.ABSTRACT:We patient.ABSTRACT:We report a case of bronchopneumonia due to Schizophyllum commune in an im an immunocompromised patient white patient. While this fungus rarely causes disease in humans, it has been reported in association with several clinical entities and lung disorders. A 59 an im white man with a immunocompromised patient. While this fungus rarely causes disease in humans, it has been reported in association with several clinical entities and lung disorders. A 59-year-old white man with white man"
"Schizophyllum_19100626:Schizophyllum
",抑制,"cardiac transplantation transplantation. cardiac transplantation cardiac transplant cardiac transplantation.ABSTRACT:The incidence of pulmonary nodules after cardiac transplantation transplantation.ABSTRACT:The 56-year-old woman who was found to have bilateral pulmonary nodules four months after cardiac transplantation after cardiac transplantation cardiac transplantation.ABSTRACT:The incidence of pulmonary nodules after cardiac woman who was found to have bilateral pulmonary nodules four months after cardiac transplantation transplantation.ABSTRACT:The incidence of pulmonary nodules after cardiac transplantation transplant four months after cardiac transplantation year-old woman who was found to have bilateral pulmonary nodules four months after cardiac transplantation after transplantation cardiac transplantation is not uncommon, and prompt diagnostic procedures are necessary to minimize disease-related morbidity and mortality. We report a 56 -year-old woman who was found to have bilateral pulmonary nodules four months after cardiac transplantation old woman who was found to have bilateral pulmonary nodules four months after cardiac transplantation -old woman who was found to have bilateral pulmonary nodules four months after cardiac transplantation"
"Schizophyllum_19455959:Schizophyllum
",none,"75 75-year-old woman toilet 75-year-old 75-year woman therapy in 2, and bronchial toilet We report the case of a 75 old woman year-old woman 75-year-old woman with mucoid impaction of the bronchi (MIB) due to Schizophyllum commune who 75- 75-year- well without steroid administration well .ABSTRACT:We report the case of a 75 the case of a 75 a 75 suffering from asthma and has been well without steroid administration suffering from asthma and has been well"
"Schizophyllum_26839766:Schizophyllum
",none,. plug and from cultures. from cultures. plug 61 plug and plug and from 61-year-old female 61-year-old from female 61-year year-old female old female A 61 61- -year-old female year-old 61-year- -old female
"Schizophyllum_27489762:Schizophyllum
",none,80 80-year-old Japanese woman 80-year-old 80-year-old Japanese woman with wet cough and dyspnea was diagnosed with pneumonia at a 80-year 80-year-old Japanese woman with wet cough and dyspnea was diagnosed with pneumonia at a clinic 80-year-old Japanese 80- 80-year-old Japanese woman with wet 80-year- 80-year-old Japanese woman with wet cough and dyspnea was diagnosed with pneumonia at 80-year-old Japanese woman with 80-year-old Japanese woman with wet cough and dyspnea was An 80 old Japanese woman woman a year-old Japanese woman old old Japanese woman with wet cough and dyspnea was diagnosed with pneumonia at a
"Schizophyllum_31543381:Schizophyllum
",none,immunocompetent immunocompetent subject im immunocompet immunocom immuno immu immunocompetent subject and update the literature review on S. commune sinusitis published between 2012-2019 an immunocompetent immunocompetent subject and immunocompetent subject and update immunocompetent subject and update the literature review on S. commune sinusitis published between 2012- first Italian case of chronic non-invasive fungal rhinosinusitis due to S. commune in an immunocompetent subject in an immunocompetent Italian case of chronic non-invasive fungal rhinosinusitis due to S. commune in an immunocompetent an immunocompetent subject an im first Italian case of chronic non-invasive fungal rhinosinusitis due to S. commune in an immunocompetent subject immunocompetent subject and update the literature review on S. commune sinusitis published between 2012-2019.
"Schizophyllum_33118109:Schizophyllum
",none,diabetic diabetic gentleman di diabe 56-year-old diabetic gentleman diabetic gentleman with a 6-months history of progressive productive 56-year-old diabetic gentleman diabetic gentleman with a 6-months history of progressive old diabetic 56-year-old di diabetic gentleman with a 6-months history diabetic gentleman with year-old diabetic -old diabetic -year-old diabetic old diabetic gentleman diabetic gentleman with a diabetic gentleman with a 6 diabetic gentleman with a 6-months history of
"Schizophyllum_33124214:Schizophyllum
",抑制,acute myeloid leukemia acute myeloid leukemia leukemia acute myeloid le acute myeloid leuke Acute Myeloid Leukemia acute myeloid with acute myeloid leukemia Acute Myeloid Leukemia: acute myeloid leukemia presenting neutropenic fever patient with acute myeloid leukemia acute myeloid leukemia presenting neutropenic acute my Leukemia: with acute acute myelo acute myeloid leukemia presenting ne patient with acute patient
"Schizophyllum_33156492:Schizophyllum
",none,woman 69-year-old woman year-old woman old woman -year-old woman -old woman . 69 69-year-old year-old A 69-year-old woman 69-year old year -year-old -old 69- -year 69-year- year-
"Schizophyllum_33388231:Schizophyllum
",none,"patient easy a patient many patients with infections caused by S. commune have not been correctly diagnosed. Repeated exposures to environmental floating fungi supposedly make an easy . Repeated exposures to environmental floating fungi supposedly make an easy both patient , many patients with infections caused by S. commune have not been correctly diagnosed. Repeated exposures to environmental floating fungi supposedly make an easy easy sensitization and patient's nasal sputum and veranda patient's nasal mucus and environmental many patients with infections caused by S. commune have not been correctly diagnosed. indicates the importance of reconsidering allergic respiratory diseases associated with our living environments. patient' patient's nasal sputum and ve . . This report indicates the importance of reconsidering allergic respiratory diseases associated with our living environments. importance of reconsidering allergic respiratory diseases associated with our living environments. patient's indicates patient's nasal sputum and veranda's"
"Schizophyllum_34627188:Schizophyllum
",抑制,hypertension diabetes h diabetes and hypertension diabetes and h hypertens with diabetes lung cancer with diabetes and hypertension cancer diabetes and hypertens diabetes and hyper with diabetes and h 76-year-old man with diabetes 76-year-old man with diabetes and hypertension lung diabetes and hyper man with diabetes with
"Schizophyllum_34856690:Schizophyllum
",none,Two cases of pulmonary Schizophyllum commune infection and and Two cases of pulmonary Schizophyllum commune infection and literature review] and literature review] Two
